00|DiePacket
01|RevivePacket
02|AttackOutofRangePacket
03|AttackinCoolTimePacket
04|AttackDeadTargetPacket
05|SpawnItemPacket
06|SellListPacket
07|BuyListPacket
08|DeleteObjectPacket
09|CharacterSelectionInfoPacket
0a|LoginFailPacket
0b|CharacterSelectedPacket
0c|NpcInfoPacket
0d|NewCharacterSuccessPacket
0e|NewCharacterFailPacket
0f|CharacterCreateSuccessPacket
10|CharacterCreateFailPacket
11|ItemListPacket
12|SunRisePacket
13|SunSetPacket
14|TradeStartPacket
15|TradeStartOkPacket
16|DropItemPacket
17|GetItemPacket
18|StatusUpdatePacket
19|NpcHtmlMessagePacket
1a|TradeOwnAddPacket
1b|TradeOtherAddPacket
1c|TradeDonePacket
1d|CharacterDeleteSuccessPacket
1e|CharacterDeleteFailPacket
1f|ActionFailPacket
20|SeverClosePacket
21|InventoryUpdatePacket
22|TeleportToLocationPacket
23|TargetSelectedPacket
24|TargetUnselectedPacket
25|AutoAttackStartPacket
26|AutoAttackStopPacket
27|SocialActionPacket
28|ChangeMoveTypePacket
29|ChangeWaitTypePacket
2a|ManagePledgePowerPacket
2b|CreatePledgePacket
2c|AskJoinPledgePacket
2d|JoinPledgePacket
2e|VersionCheckPacket
2f|MoveToLocation
30|NSPacket
31|CIPacket
32|UIPacket
33|AttackPacket
34|WithdrawalPledgePacket
35|OustPledgeMemberPacket
36|SetOustPledgeMemberPacket
37|DismissPledgePacket
38|SetDismissPledgePacket
39|AskJoinPartyPacket
3a|JoinPartyPacket
3b|WithdrawalPartyPacket
3c|OustPartyMemberPacket
3d|SetOustPartyMemberPacket
3e|DismissPartyPacket
3f|SetDismissPartyPacket
40|MagicAndSkillList
41|WareHouseDepositListPacket
42|WareHouseWithdrawListPacket
43|WareHouseDonePacket
44|ShortCutRegisterPacket
45|ShortCutInitPacket
46|ShortCutDeletePacket
47|StopMovePacket
48|MagicSkillUse
49|MagicSkillCanceled
4a|SayPacket2
4b|EquipUpdatePacket
4c|DoorInfoPacket
4d|DoorStatusUpdatePacket
4e|PartySmallWindowAllPacket
